"Device name","OS version","Microsoft Entra device ID","Secure Boot enabled","Certificate status","Device model"
"W365-Q8SG0AZ","10.0.26100.7781","c91bdc23-c3e8-4487-818c-8e4be95a2a9a","Yes","Not up to date","Virtual Machine"
"AP-CFM6D","10.0.19045.4123","cf4c89e4-f77c-4f3b-b8e3-3516ad11481d","Yes","Not up to date","Latitude 5340"
"AP-K8JY2T","10.0.26100.7462","19562c81-68b6-4db6-a643-760c492bfe80","Yes","Up to date","Virtual Machine"
"AP-6LEXVHN","10.0.22631.6584","51b71ea1-a4b6-4b0c-b4d8-df1397394838","Yes","Not up to date","Latitude 5540"
"W365-KV9C6D","10.0.26100.7634","66130de9-2cd8-4b6d-95c3-d27022b96eb8","Yes","Not up to date","Latitude 5440"
"W365-OAGV2KRE","10.0.22621.5432","8dc914f6-554f-45d4-ae9e-bc13cf6eb763","Yes","Up to date","HP EliteBook 840 G9"
"W365-TJIUZHP8","10.0.26100.7781","86237a64-45e2-4061-8eb0-2ff50882ac45","Yes","Up to date","Surface Laptop 5"
"W365-IW8Q2EJ","10.0.26100.7634","33853724-9f82-4b89-8280-3078d4687792","Yes","Up to date","Latitude 5440"
"W365-SZVG26","","a33b4528-5c2e-43d0-b837-957844f8c523","Unknown","Not applicable",""
"AP-HM0J7","10.0.26100.7781","f1008b0d-4a8e-4b35-ba9a-8e1c3cc87bb2","Yes","Up to date","Latitude 5340"
"W365-PV14G","10.0.22631.6649","f1571fe5-03a9-42bf-ba6f-e9adf6711d30","Yes","Up to date","Precision 5570"
"W365-14EPNWX","10.0.22621.5432","be02e813-0000-43f1-bdd2-124acf980e66","Yes","Not up to date","Surface Pro 9"
"AP-Z9JTC0DK","10.0.26100.7634","0c702f28-84cf-4f12-9e0a-f6f6b76da48f","Yes","Up to date","Latitude 5540"
"W365-E4UA9PBN","10.0.19045.4123","fd90971e-e03f-4f29-a05b-5b7c0646e64a","Yes","Not up to date","Latitude 5340"
